"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"85","Elon",14,19,0.424,-4.71,-1.91,2074,2156,0.961966604823748,NA,0.506
"86","Evansville",9,21,0.3,-4.62,2.07,1785,1966,0.90793489318413,NA,0.509
"87","Fairfield",14,16,0.467,-5.67,-2.51,1972,2067,0.954039671020803,NA,0.535
"88","Fairleigh Dickinson",8,20,0.286,-13.27,-5.12,1961,2189,0.89584285061672,NA,0.53
"89","Florida A&M",15,17,0.469,-15.45,-7.18,2065,2248,0.918594306049822,NA,0.498
"90","Florida Atlantic",15,18,0.455,-5.64,-2.38,2365,2446,0.966884709730172,NA,0.551
"91","Florida International",9,20,0.31,-7.09,0.22,1855,2025,0.916049382716049,NA,0.519
"92","Florida State",19,15,0.559,10.4,7.31,2451,2346,1.04475703324808,NA,0.55
"93","Florida",24,12,0.667,12.34,4.98,2791,2433,1.14714344430744,NA,0.577
"94","Fordham",12,17,0.414,-0.16,4.32,1880,1947,0.965588084232152,NA,0.52
"95","Fresno State",13,19,0.406,-2.99,-0.91,2200,2218,0.991884580703336,NA,0.516
"96","Furman",7,23,0.233,-12.73,-2.39,1837,2142,0.857609710550887,NA,0.507
"97","Gardner-Webb",16,16,0.5,-4.01,-3.66,2465,2415,1.02070393374741,NA,0.538
"98","George Mason",23,11,0.676,6.07,-0.75,2356,2124,1.10922787193974,NA,0.557
"99","George Washington",9,17,0.346,-1.7,3.15,1649,1775,0.929014084507042,NA,0.504
"100","Georgetown",28,6,0.824,18.73,7.23,2367,1976,1.19787449392713,NA,0.584
"101","Georgia Southern",20,12,0.625,-0.07,-2.17,2400,2286,1.0498687664042,NA,0.526
"102","Georgia State",9,21,0.3,-7.6,-2.97,1847,1987,0.929542023150478,NA,0.505
"103","Georgia Tech",15,17,0.469,10.77,9.57,2482,2432,1.02055921052632,NA,0.561
"104","Georgia",17,17,0.5,7.24,7.03,2314,2290,1.01048034934498,NA,0.513
"105","Gonzaga",25,8,0.758,14.81,2.15,2524,2106,1.19848053181387,NA,0.578
"106","Grambling",7,19,0.269,-23.49,-12.41,1733,2004,0.864770459081836,NA,0.492
"107","Green Bay",15,15,0.5,-0.04,1.53,2071,2100,0.986190476190476,NA,0.549
"108","Hampton",18,12,0.6,-5.57,-8.03,1955,1879,1.04044704630122,NA,0.492
"109","Hartford",18,16,0.529,-8.75,-5.28,2407,2525,0.953267326732673,NA,0.562
"110","Harvard",8,22,0.267,-10.76,-4.86,2056,2233,0.920734437975817,NA,0.538
